2025-06-14 18:31:55.577 | INFO     | __main__:obter_dados_historicos_yahoo:103 - BRFS3.SA - Registros brutos recebidos: 2487
2025-06-14 18:31:55.581 | INFO     | __main__:obter_dados_historicos_yahoo:121 - BRFS3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:31:55.584 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para BRFS3.SA
2025-06-14 18:31:59.492 | INFO     | __main__:obter_dados_historicos_yahoo:103 - BPAC11.SA - Registros brutos recebidos: 2066
2025-06-14 18:31:59.497 | INFO     | __main__:obter_dados_historicos_yahoo:121 - BPAC11.SA - Registros válidos após limpeza e corte até ontem: 2066
2025-06-14 18:31:59.500 | INFO     | __main__:<module>:221 - Atualizados 2066 registros para BPAC11.SA
2025-06-14 18:32:03.015 | INFO     | __main__:obter_dados_historicos_yahoo:103 - CXSE3.SA - Registros brutos recebidos: 1029
2025-06-14 18:32:03.019 | INFO     | __main__:obter_dados_historicos_yahoo:121 - CXSE3.SA - Registros válidos após limpeza e corte até ontem: 1029
2025-06-14 18:32:03.021 | INFO     | __main__:<module>:221 - Atualizados 1029 registros para CXSE3.SA
2025-06-14 18:32:07.154 | INFO     | __main__:obter_dados_historicos_yahoo:103 - CRFB3.SA - Registros brutos recebidos: 1966
2025-06-14 18:32:07.158 | WARNING  | __main__:obter_dados_historicos_yahoo:117 - CRFB3.SA - 9 linhas removidas por dados essenciais ausentes (OHLC/Adj Close)
2025-06-14 18:32:07.159 | INFO     | __main__:obter_dados_historicos_yahoo:121 - CRFB3.SA - Registros válidos após limpeza e corte até ontem: 1957
2025-06-14 18:32:07.162 | INFO     | __main__:<module>:221 - Atualizados 1957 registros para CRFB3.SA
2025-06-14 18:32:10.847 | INFO     | __main__:obter_dados_historicos_yahoo:103 - CCRO3.SA - Registros brutos recebidos: 2487
2025-06-14 18:32:10.851 | INFO     | __main__:obter_dados_historicos_yahoo:121 - CCRO3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:32:10.854 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para CCRO3.SA
2025-06-14 18:32:14.591 | INFO     | __main__:obter_dados_historicos_yahoo:103 - CMIG4.SA - Registros brutos recebidos: 2487
2025-06-14 18:32:14.596 | INFO     | __main__:obter_dados_historicos_yahoo:121 - CMIG4.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:32:14.599 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para CMIG4.SA
2025-06-14 18:32:18.229 | INFO     | __main__:obter_dados_historicos_yahoo:103 - COGN3.SA - Registros brutos recebidos: 2487
2025-06-14 18:32:18.233 | INFO     | __main__:obter_dados_historicos_yahoo:121 - COGN3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:32:18.235 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para COGN3.SA
2025-06-14 18:32:21.299 | INFO     | __main__:obter_dados_historicos_yahoo:103 - CPLE6.SA - Registros brutos recebidos: 2487
2025-06-14 18:32:21.303 | INFO     | __main__:obter_dados_historicos_yahoo:121 - CPLE6.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:32:21.306 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para CPLE6.SA
2025-06-14 18:32:25.427 | INFO     | __main__:obter_dados_historicos_yahoo:103 - CSAN3.SA - Registros brutos recebidos: 2487
2025-06-14 18:32:25.433 | INFO     | __main__:obter_dados_historicos_yahoo:121 - CSAN3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:32:25.435 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para CSAN3.SA
2025-06-14 18:32:29.245 | INFO     | __main__:obter_dados_historicos_yahoo:103 - CPFE3.SA - Registros brutos recebidos: 2487
2025-06-14 18:32:29.249 | INFO     | __main__:obter_dados_historicos_yahoo:121 - CPFE3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:32:29.251 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para CPFE3.SA
2025-06-14 18:32:32.932 | INFO     | __main__:obter_dados_historicos_yahoo:103 - CMIN3.SA - Registros brutos recebidos: 1076
2025-06-14 18:32:32.935 | INFO     | __main__:obter_dados_historicos_yahoo:121 - CMIN3.SA - Registros válidos após limpeza e corte até ontem: 1076
2025-06-14 18:32:32.937 | INFO     | __main__:<module>:221 - Atualizados 1076 registros para CMIN3.SA
2025-06-14 18:32:36.762 | INFO     | __main__:obter_dados_historicos_yahoo:103 - CVCB3.SA - Registros brutos recebidos: 2487
2025-06-14 18:32:36.767 | INFO     | __main__:obter_dados_historicos_yahoo:121 - CVCB3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:32:36.769 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para CVCB3.SA
2025-06-14 18:32:40.438 | INFO     | __main__:obter_dados_historicos_yahoo:103 - CYRE3.SA - Registros brutos recebidos: 2487
2025-06-14 18:32:40.442 | INFO     | __main__:obter_dados_historicos_yahoo:121 - CYRE3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:32:40.444 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para CYRE3.SA
2025-06-14 18:32:43.421 | INFO     | __main__:obter_dados_historicos_yahoo:103 - ELET3.SA - Registros brutos recebidos: 2487
2025-06-14 18:32:43.425 | INFO     | __main__:obter_dados_historicos_yahoo:121 - ELET3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:32:43.428 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para ELET3.SA
2025-06-14 18:32:47.150 | INFO     | __main__:obter_dados_historicos_yahoo:103 - ELET6.SA - Registros brutos recebidos: 2487
2025-06-14 18:32:47.174 | INFO     | __main__:obter_dados_historicos_yahoo:121 - ELET6.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:32:47.177 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para ELET6.SA
2025-06-14 18:32:50.904 | INFO     | __main__:obter_dados_historicos_yahoo:103 - EMBR3.SA - Registros brutos recebidos: 2487
2025-06-14 18:32:50.908 | INFO     | __main__:obter_dados_historicos_yahoo:121 - EMBR3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:32:50.911 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para EMBR3.SA
2025-06-14 18:32:53.894 | INFO     | __main__:obter_dados_historicos_yahoo:103 - ENGI11.SA - Registros brutos recebidos: 2487
2025-06-14 18:32:53.898 | INFO     | __main__:obter_dados_historicos_yahoo:121 - ENGI11.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:32:53.901 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para ENGI11.SA
2025-06-14 18:32:57.820 | INFO     | __main__:obter_dados_historicos_yahoo:103 - ENEV3.SA - Registros brutos recebidos: 2487
2025-06-14 18:32:57.824 | INFO     | __main__:obter_dados_historicos_yahoo:121 - ENEV3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:32:57.827 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para ENEV3.SA
2025-06-14 18:33:01.405 | INFO     | __main__:obter_dados_historicos_yahoo:103 - EGIE3.SA - Registros brutos recebidos: 2487
2025-06-14 18:33:01.410 | INFO     | __main__:obter_dados_historicos_yahoo:121 - EGIE3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:33:01.414 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para EGIE3.SA
2025-06-14 18:33:05.333 | INFO     | __main__:obter_dados_historicos_yahoo:103 - EQTL3.SA - Registros brutos recebidos: 2487
2025-06-14 18:33:05.337 | INFO     | __main__:obter_dados_historicos_yahoo:121 - EQTL3.SA - Registros válidos após limpeza e corte até ontem: 2487
