Data_Coleta;Titulo;Vencimento;Taxa_Compra(%);Taxa_Venda(%)
2025-06-05;Tesouro Educa+ 2040;15/12/2044;7.01;7.13
2025-06-05;Tesouro Educa+ 2041;15/12/2045;7.01;7.13
2025-06-05;Tesouro Educa+ 2042;15/12/2046;7.01;7.13
2025-06-05;Tesouro Educa+ 2043;15/12/2047;7.01;7.13
2025-06-05;Tesouro IGPM+ com Juros Semestrais 2031;01/01/2031;;7.61
2025-06-05;Tesouro IPCA+ 2026;15/08/2026;;9.65
2025-06-05;Tesouro IPCA+ 2029;15/05/2029;7.49;7.61
2025-06-05;Tesouro IPCA+ 2035;15/05/2035;;7.26
2025-06-05;Tesouro IPCA+ 2040;15/08/2040;6.99;7.11
2025-06-05;Tesouro IPCA+ 2045;15/05/2045;;7.15
2025-06-05;Tesouro IPCA+ 2050;15/08/2050;6.94;7.06
2025-06-05;Tesouro IPCA+ com Juros Semestrais 2026;15/08/2026;;9.65
2025-06-05;Tesouro IPCA+ com Juros Semestrais 2030;15/08/2030;;7.58
2025-06-05;Tesouro IPCA+ com Juros Semestrais 2032;15/08/2032;;7.5
2025-06-05;Tesouro IPCA+ com Juros Semestrais 2035;15/05/2035;7.23;7.35
2025-06-05;Tesouro IPCA+ com Juros Semestrais 2040;15/08/2040;;7.22
2025-06-05;Tesouro IPCA+ com Juros Semestrais 2045;15/05/2045;7.11;7.23
2025-06-05;Tesouro IPCA+ com Juros Semestrais 2050;15/08/2050;;7.18
2025-06-05;Tesouro IPCA+ com Juros Semestrais 2055;15/05/2055;;7.17
2025-06-05;Tesouro IPCA+ com Juros Semestrais 2060;15/08/2060;7.07;7.19
2025-06-05;Tesouro Prefixado 2026;01/01/2026;;14.86
2025-06-05;Tesouro Prefixado 2027;01/01/2027;;14.28
2025-06-05;Tesouro Prefixado 2028;01/01/2028;13.62;13.74
2025-06-05;Tesouro Prefixado 2029;01/01/2029;;13.79
2025-06-05;Tesouro Prefixado 2031;01/01/2031;;13.92
2025-06-05;Tesouro Prefixado 2032;01/01/2032;13.84;13.96
2025-06-05;Tesouro Prefixado com Juros Semestrais 2027;01/01/2027;;14.26
2025-06-05;Tesouro Prefixado com Juros Semestrais 2029;01/01/2029;;13.82
2025-06-05;Tesouro Prefixado com Juros Semestrais 2031;01/01/2031;;14.03
2025-06-05;Tesouro Prefixado com Juros Semestrais 2033;01/01/2033;;13.98
2025-06-05;Tesouro Prefixado com Juros Semestrais 2035;01/01/2035;13.93;14.05
2025-06-05;Tesouro Renda+ Aposentadoria Extra 2030;15/12/2049;7.08;7.2
2025-06-05;Tesouro Renda+ Aposentadoria Extra 2035;15/12/2054;7.0;7.12
2025-06-05;Tesouro Renda+ Aposentadoria Extra 2040;15/12/2059;6.97;7.09
2025-06-05;Tesouro Renda+ Aposentadoria Extra 2045;15/12/2064;6.97;7.09
2025-06-05;Tesouro Renda+ Aposentadoria Extra 2050;15/12/2069;6.97;7.09
2025-06-05;Tesouro Renda+ Aposentadoria Extra 2055;15/12/2074;6.99;7.11
2025-06-05;Tesouro Renda+ Aposentadoria Extra 2060;15/12/2079;7.0;7.12
2025-06-05;Tesouro Renda+ Aposentadoria Extra 2065;15/12/2084;7.0;7.12
2025-06-05;Tesouro Selic 2026;01/03/2026;;0.0218
2025-06-05;Tesouro Selic 2027;01/03/2027;;0.05
2025-06-05;Tesouro Selic 2028;01/03/2028;0.0584;0.0684
2025-06-05;Tesouro Selic 2029;01/03/2029;;0.1078
2025-06-05;Tesouro Selic 2031;01/03/2031;0.11;0.12
