top_k,auc,acc
18,0.9173403556221126,0.8329078014184397
22,0.934512128333288,0.8557446808510638
18,0.9173403556221126,0.8329078014184397
24,0.936072854609174,0.8585815602836879
20,0.9228045479146669,0.8387234042553191
16,0.8994688845343514,0.8170212765957446
26,0.9309659379762047,0.8546099290780141
15,0.9089326240737943,0.8283687943262411
20,0.9228045479146669,0.8387234042553191
29,0.9347443011593908,0.8580141843971631
