top_k,auc,acc
21,0.7716063893551952,0.7002752145054233
11,0.750660808019298,0.6850250930872592
15,0.7524206198345964,0.6811720900113324
18,0.7658985052091141,0.6960984296584102
23,0.7716038469194321,0.7014732070584426
26,0.7786145545346163,0.7048081593006313
22,0.7763723128513679,0.7023150396632669
22,0.7763723128513679,0.7023150396632669
29,0.7784101813185373,0.7046786465921968
22,0.7763723128513679,0.7023150396632669
